Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1573577220000,184.98000000,185.10000000,184.96000000,185.09000000,55.70840000,1573577279999,10307.32639520,72,24.06797000,4453.38487410,0
1573577280000,185.10000000,185.11000000,185.01000000,185.01000000,46.50004000,1573577339999,8605.96646650,57,3.57081000,660.93241490,0
1573577340000,185.01000000,185.03000000,184.96000000,184.97000000,119.05520000,1573577399999,22025.71949610,65,26.34302000,4873.50520490,0
1573577400000,184.97000000,185.01000000,184.84000000,184.84000000,87.02184000,1573577459999,16093.71882270,50,36.31243000,6715.14980440,0
1573577460000,184.87000000,184.89000000,184.81000000,184.83000000,84.87085000,1573577519999,15687.34632960,58,44.18621000,8167.47834000,0
1573577520000,184.84000000,184.91000000,184.69000000,184.74000000,624.40820000,1573577579999,115405.47264800,104,79.98381000,14783.57478560,0
1573577580000,184.71000000,184.84000000,184.68000000,184.74000000,112.00604000,1573577639999,20695.78532970,81,62.24525000,11502.29611160,0
1573577640000,184.73000000,184.78000000,184.64000000,184.74000000,104.56326000,1573577699999,19315.19050310,82,47.58059000,8789.00258820,0
1573577700000,184.73000000,184.74000000,184.65000000,184.69000000,34.58698000,1573577759999,6388.64634180,54,9.44175000,1744.03863780,0
1573577760000,184.70000000,184.80000000,184.69000000,184.73000000,50.37185000,1573577819999,9305.56328840,67,9.76134000,1803.27308290,0
1573577820000,184.72000000,184.74000000,184.63000000,184.63000000,152.10533000,1573577879999,28095.32586740,86,45.88190000,8474.69033750,0
1573577880000,184.63000000,184.68000000,184.59000000,184.60000000,32.05100000,1573577939999,5917.56072260,45,25.23105000,4658.44267830,0
1573577940000,184.60000000,184.74000000,184.56000000,184.64000000,98.95335000,1573577999999,18271.71690600,102,51.75939000,9557.81488740,0
1573578000000,184.62000000,184.67000000,184.60000000,184.61000000,29.16338000,1573578059999,5384.41812970,51,17.64183000,3257.29737350,0
1573578060000,184.61000000,184.66000000,184.50000000,184.53000000,46.94328000,1573578119999,8664.21874040,72,18.83135000,3475.94780610,0
1573578120000,184.55000000,184.56000000,184.51000000,184.52000000,59.95125000,1573578179999,11062.45412500,57,14.26535000,2632.33812760,0
1573578180000,184.52000000,184.63000000,184.51000000,184.56000000,82.45622000,1573578239999,15217.44616370,79,59.61183000,11001.21784740,0
1573578240000,184.56000000,184.60000000,184.50000000,184.59000000,43.64853000,1573578299999,8054.80785450,61,20.06338000,3702.63132660,0
1573578300000,184.61000000,184.63000000,184.53000000,184.55000000,67.50310000,1573578359999,12461.17363800,46,26.68235000,4925.18209300,0
1573578360000,184.55000000,184.58000000,184.37000000,184.42000000,83.88055000,1573578419999,15474.41855580,88,43.26076000,7980.54232100,0
1573578420000,184.42000000,184.56000000,184.39000000,184.49000000,52.68607000,1573578479999,9718.68665790,58,37.67794000,6950.00140910,0
1573578480000,184.49000000,184.69000000,184.48000000,184.63000000,164.28433000,1573578539999,30328.89217010,76,104.08761000,19215.55582720,0
1573578540000,184.65000000,184.75000000,184.59000000,184.75000000,55.65712000,1573578599999,10277.42941040,59,26.11838000,4822.91675920,0
1573578600000,184.73000000,184.76000000,184.62000000,184.69000000,65.14745000,1573578659999,12030.46910870,71,23.49184000,4338.27068610,0
1573578660000,184.73000000,184.73000000,184.67000000,184.70000000,39.33107000,1573578719999,7264.59674890,33,33.88674000,6259.09930100,0
1573578720000,184.71000000,184.75000000,184.65000000,184.65000000,73.55530000,1573578779999,13585.90511160,59,50.85889000,9394.10539700,0
1573578780000,184.66000000,184.73000000,184.66000000,184.70000000,18.74750000,1573578839999,3462.69078170,28,8.91733000,1646.94699610,0
1573578840000,184.74000000,184.74000000,184.62000000,184.69000000,64.67215000,1573578899999,11943.49370440,55,25.48841000,4707.00433990,0
1573578900000,184.70000000,184.75000000,184.69000000,184.74000000,75.51257000,1573578959999,13949.45424350,62,47.06568000,8694.20756840,0
1573578960000,184.75000000,184.81000000,184.62000000,184.77000000,98.20707000,1573579019999,18138.75819740,91,44.23787000,8171.19410660,0
1573579020000,184.78000000,184.80000000,184.75000000,184.77000000,87.46826000,1573579079999,16162.60643550,67,62.52917000,11554.43288830,0
1573579080000,184.77000000,184.85000000,184.72000000,184.85000000,84.44598000,1573579139999,15606.55156210,68,23.82564000,4403.57523910,0
1573579140000,184.83000000,184.93000000,184.83000000,184.92000000,108.99415000,1573579199999,20152.23745820,76,46.71403000,8637.50503300,0
1573579200000,184.92000000,185.11000000,184.92000000,185.09000000,613.74388000,1573579259999,113551.89457850,219,517.21168000,95697.01501090,0
1573579260000,185.10000000,185.33000000,185.06000000,185.17000000,188.81554000,1573579319999,34972.42508240,178,146.13632000,27068.67903130,0
1573579320000,185.17000000,185.17000000,184.94000000,185.00000000,339.42334000,1573579379999,62809.24366620,121,48.20650000,8919.67251230,0
1573579380000,185.01000000,185.07000000,184.92000000,185.05000000,37.08292000,1573579439999,6860.59500420,62,28.53882000,5279.67745030,0
1573579440000,185.06000000,185.07000000,184.87000000,184.91000000,102.90442000,1573579499999,19031.79321890,84,40.03823000,7404.09749080,0
1573579500000,184.93000000,185.05000000,184.90000000,184.98000000,62.99203000,1573579559999,11653.95252150,49,35.48840000,6565.74891120,0
1573579560000,185.02000000,185.02000000,184.88000000,184.99000000,48.85029000,1573579619999,9033.86862710,64,30.53276000,5646.53085700,0
1573579620000,185.04000000,185.04000000,184.90000000,185.01000000,62.04954000,1573579679999,11478.97299080,59,51.09327000,9452.06065990,0
1573579680000,185.02000000,185.07000000,184.93000000,185.07000000,29.68870000,1573579739999,5492.98758900,39,12.08833000,2236.63935120,0
1573579740000,185.09000000,185.12000000,184.98000000,185.03000000,59.17612000,1573579799999,10951.56962320,71,33.09830000,6125.19590410,0
1573579800000,185.02000000,185.15000000,185.02000000,185.13000000,87.18759000,1573579859999,16137.91278950,83,49.89236000,9234.50551140,0
1573579860000,185.13000000,185.35000000,185.13000000,185.31000000,106.57204000,1573579919999,19743.34257450,105,67.73345000,12547.80562680,0
1573579920000,185.32000000,185.36000000,185.23000000,185.28000000,128.88516000,1573579979999,23884.45200410,79,47.71888000,8843.43494230,0
1573579980000,185.28000000,185.45000000,185.28000000,185.39000000,83.50760000,1573580039999,15480.63434310,76,55.78623000,10342.35196440,0
1573580040000,185.39000000,185.45000000,185.39000000,185.44000000,85.47309000,1573580099999,15848.66014030,59,29.70556000,5507.92990980,0
1573580100000,185.40000000,185.45000000,185.32000000,185.36000000,201.53857000,1573580159999,37366.38671420,66,43.25136000,8020.17914150,0
1573580160000,185.36000000,185.42000000,185.25000000,185.31000000,103.88234000,1573580219999,19254.41732120,92,80.00859000,14829.59770220,0
1573580220000,185.31000000,185.46000000,185.24000000,185.42000000,41.11925000,1573580279999,7622.74345480,67,14.92845000,2766.94883300,0
1573580280000,185.43000000,185.47000000,185.35000000,185.44000000,310.35112000,1573580339999,57542.64000260,109,168.52978000,31248.47182870,0
1573580340000,185.44000000,185.81000000,185.42000000,185.81000000,817.07442000,1573580399999,151605.69813530,229,685.79359000,127254.45263150,0
1573580400000,185.74000000,185.84000000,185.65000000,185.79000000,221.00988000,1573580459999,41055.48416070,177,115.84417000,21520.62618860,0
1573580460000,185.79000000,185.81000000,185.69000000,185.73000000,173.39896000,1573580519999,32204.19488470,80,123.09248000,22860.74517420,0
1573580520000,185.74000000,185.81000000,185.69000000,185.72000000,93.39136000,1573580579999,17347.24107940,71,76.15344000,14145.35354450,0
1573580580000,185.73000000,185.83000000,185.70000000,185.74000000,75.97778000,1573580639999,14114.43922340,66,16.77058000,3115.81311260,0
1573580640000,185.72000000,185.72000000,185.54000000,185.68000000,162.42900000,1573580699999,30156.02372840,132,104.65168000,19427.56937730,0
1573580700000,185.68000000,185.85000000,185.61000000,185.74000000,164.99628000,1573580759999,30652.88240060,116,85.48558000,15883.49351090,0
1573580760000,185.73000000,185.81000000,185.68000000,185.78000000,35.44891000,1573580819999,6584.92176250,42,6.87526000,1277.10443940,0
